category,brand,price,rating,capacity_people,capacity,cleaning_features,display_desc,features,image_path,product_url
سرخ کن بدون روغن,فیلیپس,8706480,4.0,8.0,6.0,nan,دیجیتال,nan,D:/سرخ کن بدون روغن/image_1.jpg,https://www.digikala.com/product/dkp-7439603/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9270/
سرخ کن بدون روغن,فیلیپس,5230000,4.1,4.0,4.1,nan,بدون صفحه نمایش,nan,D:/سرخ کن بدون روغن/image_2.jpg,https://www.digikala.com/product/dkp-6263208/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd9200/
سرخ کن بدون روغن,نیکووا,12980000,,12.0,11.0,قابلیت نظافت آسان,دارای صفحه نمایش لمسی,nan,D:/سرخ کن بدون روغن/image_3.jpg,https://www.digikala.com/product/dkp-15004589/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D9%86%DB%8C%DA%A9%D9%88%D9%88%D8%A7-%D9%85%D8%AF%D9%84-29/?ad_variant_id=51589413
سرخ کن بدون روغن,تز,6486000,,8.0,6.5,قابلیت نظافت آسان,nan,سرخ‌کردن بدون روغن یخ‌زدایی گریل برنامه پخت تابه نچسب تایمر قابلیت تنظیم دما خمیرزن,D:/سرخ کن بدون روغن/image_4.jpg,https://www.digikala.com/product/dkp-18442741/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-65-%D9%84%DB%8C%D8%AA%D8%B1%DB%8C-%D8%AA%D8%B2-%D9%85%D8%AF%D9%84-am9000/?ad_variant_id=64742495
سرخ کن بدون روغن,گوسونیک,5870000,4.2,11.0,7.0,ظرف متحرک و قابل شست‌وشو,نمایشگر LED رنگی با 12 برنامه پخت و برنامه پیش گرم کن و قابلیت تنظیم دما و زمان پخت است.,سرخ‌کردن بدون روغن,D:/سرخ کن بدون روغن/image_5.jpg,https://www.digikala.com/product/dkp-15185320/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%D8%AF%D9%88-%D8%A7%D9%84%D9%85%D9%86%D8%AA-gaf-837/
سرخ کن بدون روغن,سیلورکرست,5610000,4.0,,12.0,nan,دارای برنامه های تنظیم شده برای پخت سریع و آسان,nan,D:/سرخ کن بدون روغن/image_6.jpg,https://www.digikala.com/product/dkp-12029389/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%DB%8C%D9%84%D9%88%D8%B1%DA%A9%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-125/
سرخ کن بدون روغن,فیلیپس,8600000,4.4,5.0,6.2,nan,صفحه نمایش لمسی دیجیتالی,یخ‌زدایی گریل تایمر قابلیت تنظیم دما سرخ‌کردن بدون روغن دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_7.jpg,https://www.digikala.com/product/dkp-17258888/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-na23100/
سرخ کن بدون روغن,فیلیپس,13430000,4.0,6.0,6.2,nan,صفحه نمایش کاملا لمسی,قابلیت تنظیم دما تایمر دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_8.jpg,https://www.digikala.com/product/dkp-9214715/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd9280/
سرخ کن بدون روغن,گوسونیک,6700000,4.4,7.0,6.5,nan,لمسی,برنامه پذیری قابلیت تنظیم دما یخ‌زدایی صفحات جداشونده تابه نچسب سرخ‌کردن بدون روغن برنامه پخت دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_9.jpg,https://www.digikala.com/product/dkp-11690142/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-gaf-757/
سرخ کن بدون روغن,تز,6950000,4.4,8.0,8.0,شست‌وشو با دست ظرف متحرک و قابل شست‌وشو,nan,دکمه‌های لمسی تایمر قابلیت تنظیم دما سرخ‌کردن بدون روغن,D:/سرخ کن بدون روغن/image_10.jpg,https://www.digikala.com/product/dkp-17437688/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AA%D8%B2-%D9%85%D8%AF%D9%84-ah8000/
سرخ کن بدون روغن,فیلیپس,7950000,3.8,7.0,6.2,قابلیت شست‌وشو شست‌وشوی اقلام جانبی در ماشین ظرفشویی قابلیت شست‌وشو در ماشین ظرفشویی,nan,سرخ‌کردن بدون روغن یخ‌زدایی,D:/سرخ کن بدون روغن/image_11.jpg,https://www.digikala.com/product/dkp-15948785/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-na23000/
سرخ کن بدون روغن,فیلیپس,14968110,4.0,,,nan,nan,nan,D:/سرخ کن بدون روغن/image_12.jpg,https://www.digikala.com/product/dkp-15880873/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-na35000/
سرخ کن بدون روغن,فیلیپس,6100000,4.1,4.0,4.1,nan,لمسی,سرخ‌کردن بدون روغن گریل برنامه پخت,D:/سرخ کن بدون روغن/image_13.jpg,https://www.digikala.com/product/dkp-8971138/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9252/
سرخ کن بدون روغن,نوتریکوک,19275000,4.1,8.0,8.0,ظرف متحرک و قابل شست‌وشو,سرخ کن و گریل nutricook afg960 امکان تهیه وعده های غذایی پروتئینی را با بهترین روش فراهم کرده است. انتخاب برنامه خودکار پخت برای 5 نوع مواد غذایی پروتئینی شامل گوشت گاو، بره، مرغ، ماهی و سبزیجات با 5 درجه پخت، آشپزی سالم تر و آسان تر را جهت حفظ پروتئین های مواد غذایی به ارمغان می آورد.,تفکیک قطعات صفحات جداشونده سیستم چرخش معکوس سرخ‌کردن بدون روغن یخ‌زدایی گریل برنامه پذیری برنامه پخت تایمر دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_14.jpg,https://www.digikala.com/product/dkp-13860698/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%86%D9%88%D8%AA%D8%B1%DB%8C%DA%A9%D9%88%DA%A9-%D9%85%D8%AF%D9%84-afg960/
