category,brand,price,rating,power,blade_material,dimensions,food_prep_features
0.0,0.813953488372093,6469000,4.2,0.4848484848484848,0.1764705882352941,0.2,0.0
0.0,0.8372093023255813,4500000,3.9,0.4242424242424242,0.7647058823529411,0.2,0.0
0.0,0.813953488372093,5482300,4.1,0.0,0.7058823529411764,0.5777777777777778,0.0
0.0,0.1860465116279069,3600000,4.0,0.696969696969697,0.1764705882352941,0.2,0.0
0.0,0.5116279069767442,15100000,4.3,0.1818181818181818,0.1764705882352941,0.2222222222222222,0.0
0.0,0.813953488372093,5481200,3.9,0.0,0.7058823529411764,0.5777777777777778,0.0
0.0,0.8837209302325582,11100000,4.1,0.8181818181818182,0.1764705882352941,0.4,0.0
0.0,0.8372093023255813,9350000,3.9,0.1212121212121212,0.0,0.2,0.0
0.0,0.9767441860465116,4250000,3.9,0.0303030303030303,0.1764705882352941,0.2,0.0
0.0,0.813953488372093,5322400,4.4,0.9090909090909092,0.1764705882352941,0.6,0.0
0.0,1.0,8800000,3.8,0.6666666666666667,0.1764705882352941,0.8444444444444444,0.0
0.0,0.6511627906976745,6880000,2.9,0.4545454545454546,0.0,0.2,0.0
0.0,0.6511627906976745,6700000,3.0,0.1818181818181818,0.0,0.2,0.0
0.0,0.8372093023255813,4242700,3.8,0.4242424242424242,0.7647058823529411,0.0,0.3333333333333333
0.0,0.8372093023255813,4900000,3.0,0.4242424242424242,0.2352941176470588,0.2,0.0
0.0,0.9534883720930232,25000000,4.1,0.2727272727272727,0.1764705882352941,0.0222222222222222,0.0
0.0,0.9534883720930232,34965000,4.5,0.6060606060606061,0.0,0.3555555555555555,0.0
0.0,0.2093023255813953,4880000,3.8,0.2424242424242424,0.0,0.2,0.0
0.0,0.8372093023255813,13653000,3.9,0.1818181818181818,0.8823529411764706,0.0444444444444444,0.0
0.0,0.5813953488372093,10200000,2.5,0.2727272727272727,0.1764705882352941,0.3333333333333333,0.0
0.0,0.8372093023255813,7600000,3.0,0.0606060606060606,0.0,0.2,0.0
0.0,0.1860465116279069,4400000,4.0,0.303030303030303,0.7647058823529411,0.2,0.0
0.0,1.0,12700000,4.7,0.7878787878787878,0.0,0.7333333333333334,0.0
0.0,0.4883720930232558,13400000,2.0,0.2727272727272727,0.9411764705882352,0.8666666666666667,1.0
0.0,0.6511627906976745,7000000,3.7,0.6060606060606061,0.0,0.2,0.0
0.0,0.5116279069767442,14500000,1.0,0.2727272727272727,0.7647058823529411,0.4888888888888889,0.3333333333333333
0.0,0.3488372093023256,12700000,3.9,0.4848484848484848,0.1764705882352941,0.4222222222222222,0.0
0.0,0.5116279069767442,14900000,3.0,0.1818181818181818,0.7647058823529411,0.2888888888888889,1.0
0.0,0.0697674418604651,2150000,3.3,0.6363636363636364,0.0,0.2,0.0
0.0,0.7674418604651163,3675000,4.1,0.2424242424242424,0.0,0.2,0.3333333333333333
0.0,0.813953488372093,4875000,4.0,0.9090909090909092,0.7058823529411764,0.4444444444444445,0.0
0.0,0.5813953488372093,9500000,3.6,0.2727272727272727,0.0,0.2666666666666666,0.0
0.0,0.7674418604651163,3770000,3.9,0.2424242424242424,0.6470588235294118,0.1333333333333333,0.0
0.0,0.627906976744186,8000000,3.6,0.3939393939393939,0.2941176470588235,0.4444444444444445,0.0
0.0,0.8372093023255813,4900000,3.9,0.4242424242424242,0.7647058823529411,0.2,0.0
0.0,0.6511627906976745,3300000,4.0,0.9393939393939394,0.8235294117647058,0.2,0.3333333333333333
0.0,0.1395348837209302,6642000,1.0,0.1212121212121212,0.7647058823529411,0.2,0.0
0.0,0.6511627906976745,3650000,3.6,0.2121212121212121,0.1764705882352941,0.8222222222222223,0.0
0.0,0.6511627906976745,7500000,3.3,0.6060606060606061,0.0,0.888888888888889,0.0
0.0,0.3953488372093023,20155390,3.9,0.6363636363636364,0.9411764705882352,0.2,0.0
0.0,0.2093023255813953,5300000,4.0,0.2424242424242424,0.0,0.4666666666666667,0.0
